"Step","qmix_originalstate_seed3 - eval_win_rate","qmix_originalstate_seed3 - eval_win_rate__MIN","qmix_originalstate_seed3 - eval_win_rate__MAX","qmix_originalstate_seed2 - eval_win_rate","qmix_originalstate_seed2 - eval_win_rate__MIN","qmix_originalstate_seed2 - eval_win_rate__MAX","qmix_originalstate_seed1 - eval_win_rate","qmix_originalstate_seed1 - eval_win_rate__MIN","qmix_originalstate_seed1 - eval_win_rate__MAX"
"2643056","","","","0.875","0.875","0.875","","",""
"2643248","0.90625","0.90625","0.90625","","","","","",""
"2646718","","","","","","","0.96875","0.96875","0.96875"
"2656718","","","","","","","1","1","1"
"2663095","","","","0.84375","0.84375","0.84375","","",""
"2663276","0.96875","0.96875","0.96875","","","","","",""
"2666744","","","","","","","1","1","1"
"2676752","","","","","","","0.78125","0.78125","0.78125"
"2683223","","","","0.9375","0.9375","0.9375","","",""
"2683301","0.9375","0.9375","0.9375","","","","","",""
"2686787","","","","","","","0.6875","0.6875","0.6875"
"2696792","","","","","","","0.96875","0.96875","0.96875"
"2703236","","","","1","1","1","","",""
"2703326","1","1","1","","","","","",""
"2706795","","","","","","","0.96875","0.96875","0.96875"
"2716811","","","","","","","0.96875","0.96875","0.96875"
"2723246","","","","0.96875","0.96875","0.96875","","",""
"2723342","1","1","1","","","","","",""
"2726816","","","","","","","0.9375","0.9375","0.9375"
"2736830","","","","","","","0.96875","0.96875","0.96875"
"2743248","","","","1","1","1","","",""
"2743362","1","1","1","","","","","",""
"2746830","","","","","","","0.84375","0.84375","0.84375"
"2756873","","","","","","","1","1","1"
"2763259","","","","0.875","0.875","0.875","","",""
"2763370","0.96875","0.96875","0.96875","","","","","",""
"2766883","","","","","","","0.96875","0.96875","0.96875"
